Wavelength,Flux,BestFit,SkyFlux
3809.781,29.277,26.563,4.139
3810.658,28.131,25.925,4.118
3811.536,30.299,26.545,3.995
3812.414,26.515,27.773,4.162
3813.291,26.534,26.918,4.089
3814.170,30.009,27.377,4.022
3815.048,30.768,28.017,3.925
3815.926,31.629,27.321,3.812
3816.805,32.290,26.563,3.703
3817.684,30.524,26.733,3.588
3818.563,32.006,26.960,3.481
3819.443,35.618,26.816,3.376
3820.322,27.838,27.272,3.281
3821.202,28.944,26.889,3.226
3822.082,29.651,27.091,3.163
3822.962,30.120,27.965,3.177
3823.843,31.858,27.389,3.203
3824.723,30.154,27.065,3.253
3825.604,26.587,27.186,3.356
3826.485,24.657,26.922,3.518
3827.366,24.150,26.631,3.759
3828.247,24.830,27.103,4.045
3829.129,28.454,28.112,4.338
3830.011,27.900,27.816,4.695
3830.893,26.630,27.613,4.975
3831.775,25.385,27.160,5.183
3832.657,19.389,26.798,5.228
3833.540,18.346,26.861,5.020
3834.423,17.291,27.088,4.602
3835.306,13.885,27.351,4.224
3836.189,19.341,27.105,3.973
3837.072,24.488,27.506,3.772
3837.956,20.605,27.468,3.520
3838.840,17.923,26.783,3.253
3839.724,24.792,26.986,3.144
3840.608,27.875,27.210,3.351
3841.493,28.281,27.106,3.686
3842.377,26.924,27.365,3.957
3843.262,28.649,27.668,4.097
3844.147,31.422,27.660,4.197
3845.032,27.593,27.725,4.367
3845.918,36.582,28.195,4.525
3846.803,34.788,27.889,4.473
3847.689,32.116,28.016,4.212
3848.575,40.388,27.897,3.891
3849.462,40.246,27.690,3.735
3850.348,39.531,28.530,3.800
3851.235,41.553,28.021,3.895
3852.122,40.606,28.085,3.846
3853.009,39.078,28.331,3.677
3853.896,40.404,28.439,3.505
3854.784,37.674,28.335,3.481
3855.671,40.249,28.143,3.554
3856.559,33.143,28.489,3.592
3857.447,35.211,27.918,3.376
3858.336,35.984,28.307,2.946
3859.224,31.993,28.672,2.549
3860.113,30.193,28.274,2.390
3861.002,31.871,28.326,2.640
3861.891,34.520,28.605,3.182
3862.780,38.937,28.364,3.692
3863.670,37.471,28.469,3.848
3864.560,38.229,28.839,3.714
3865.449,42.878,28.906,3.509
3866.340,44.180,28.575,3.415
3867.230,39.195,28.557,3.422
3868.121,35.928,29.104,3.423
3869.011,41.080,29.793,3.267
3869.902,44.947,30.057,2.932
3870.793,37.783,29.972,2.580
3871.685,42.001,29.800,2.405
3872.576,35.932,28.642,2.470
3873.468,30.618,28.725,2.791
3874.360,32.889,28.646,3.196
3875.252,36.743,28.452,3.482
3876.145,35.698,28.355,3.549
3877.037,34.679,27.831,3.434
3877.930,34.803,27.555,3.240
3878.823,31.762,28.165,3.094
3879.717,35.486,28.789,3.025
3880.610,32.234,28.781,2.890
3881.504,43.073,28.223,2.557
3882.398,37.754,27.779,2.616
3883.292,34.786,28.093,2.948
3884.186,30.060,29.004,3.198
3885.080,30.070,28.547,3.302
3885.975,32.837,28.299,3.163
3886.870,29.607,29.131,2.910
3887.765,28.113,29.173,2.814
3888.660,16.369,28.230,2.882
3889.556,21.369,29.077,3.014
3890.451,20.612,28.845,3.129
3891.347,25.129,28.500,3.115
3892.243,30.816,29.227,3.174
3893.140,31.399,29.674,3.409
3894.036,29.617,29.363,3.613
3894.933,31.307,29.641,3.614
3895.830,35.675,29.588,3.572
3896.727,36.238,29.645,3.660
3897.625,35.882,29.691,3.968
3898.522,39.471,29.125,4.297
3899.420,38.397,30.324,4.497
3900.318,41.237,30.222,4.637
3901.216,36.932,30.664,4.659
3902.114,36.238,30.745,4.653
3903.013,36.594,30.212,4.819
3903.912,32.248,30.775,5.054
3904.811,36.856,30.942,5.201
3905.710,38.369,30.493,5.355
3906.609,38.184,30.431,5.707
3907.509,36.815,31.033,6.334
3908.409,37.914,31.328,6.872
3909.309,36.776,30.553,6.705
3910.209,36.994,30.814,6.463
3911.110,37.820,30.853,6.565
3912.010,36.776,31.642,7.134
3912.911,36.912,31.803,8.193
3913.812,39.500,31.268,9.088
3914.714,38.868,32.019,9.052
3915.615,42.118,32.426,8.034
3916.517,40.479,31.817,6.491
3917.419,35.879,32.422,5.464
3918.321,39.773,33.025,5.005
3919.223,38.837,32.530,4.686
3920.126,34.566,32.046,4.408
3921.029,37.092,31.854,4.105
3921.931,38.079,32.648,3.795
3922.835,32.465,32.191,3.699
3923.738,35.779,32.131,3.760
3924.642,39.949,33.002,3.834
3925.545,36.507,32.641,3.776
3926.449,34.673,32.499,3.662
3927.354,32.440,32.241,3.448
3928.258,31.061,32.264,3.239
3929.163,29.860,31.924,3.060
3930.067,25.365,31.592,3.027
3930.972,20.285,32.406,3.079
3931.878,16.108,32.333,2.974
3932.783,8.464,31.719,2.772
3933.689,11.901,31.579,2.503
3934.595,9.105,31.809,2.348
3935.501,11.300,31.973,2.347
3936.407,15.472,31.981,2.424
3937.314,17.697,31.882,2.613
3938.220,21.475,31.802,2.970
3939.127,29.220,32.342,3.451
3940.034,34.875,32.428,3.933
3940.942,29.443,31.979,4.368
3941.849,32.863,32.395,4.742
3942.757,35.122,32.861,4.893
3943.665,32.882,33.195,4.755
3944.573,35.849,32.836,4.580
3945.481,39.137,32.545,4.517
3946.390,35.423,32.952,4.599
3947.299,32.631,33.380,4.732
3948.208,38.070,32.772,4.752
3949.117,40.492,33.452,4.547
3950.026,39.244,33.013,4.062
3950.936,35.841,32.668,3.783
3951.846,42.711,33.383,3.890
3952.756,37.955,33.559,4.046
3953.666,36.864,33.373,4.021
3954.577,37.677,33.836,3.947
3955.487,37.635,33.676,3.989
3956.398,38.832,33.578,4.030
3957.309,37.419,33.807,3.839
3958.221,35.287,33.420,3.354
3959.132,37.323,33.486,2.917
3960.044,37.807,33.547,2.986
3960.956,39.042,33.348,3.520
3961.868,37.460,33.185,3.983
3962.780,29.059,33.335,3.918
3963.693,28.458,33.511,3.482
3964.606,30.056,33.015,3.037
3965.519,24.355,33.210,2.801
3966.432,20.804,33.176,2.755
3967.345,14.581,32.796,2.650
3968.259,10.035,32.722,2.465
3969.173,6.802,33.192,2.385
3970.087,11.351,33.121,2.308
3971.001,12.799,33.371,2.415
3971.915,14.969,33.086,2.601
3972.830,21.030,32.677,2.828
3973.745,27.162,32.513,3.109
3974.660,30.147,32.153,3.459
3975.575,32.133,31.959,3.831
3976.491,35.522,32.740,4.172
3977.407,34.370,33.436,4.410
3978.323,37.396,33.547,4.564
3979.239,37.756,33.418,4.677
3980.155,36.920,33.690,4.684
3981.072,39.976,34.481,4.662
3981.988,40.462,35.254,4.552
3982.905,37.624,34.921,4.430
3983.823,36.675,34.309,4.408
3984.740,36.654,34.394,4.398
3985.658,36.696,34.900,4.316
3986.576,37.889,35.089,4.150
3987.494,40.251,35.655,4.096
3988.412,42.696,35.514,4.292
3989.330,39.619,35.239,4.582
3990.249,39.883,35.171,4.602
3991.168,41.244,35.079,4.274
3992.087,42.856,36.629,3.956
3993.006,45.244,36.256,4.056
3993.926,43.965,36.159,4.491
3994.846,41.298,36.398,4.589
3995.766,36.343,36.138,4.375
3996.686,38.971,35.784,4.233
3997.606,43.331,36.191,4.353
3998.527,39.317,36.806,4.659
3999.447,37.275,36.643,4.820
4000.369,43.458,36.351,4.834
4001.290,45.568,36.296,4.839
4002.211,41.534,36.107,4.822
4003.133,43.445,36.789,4.520
4004.055,42.207,36.874,4.218
4004.977,40.576,37.235,4.147
4005.899,40.380,36.997,4.513
4006.822,39.185,36.367,4.866
4007.744,41.485,37.101,4.933
4008.667,43.623,37.592,5.019
4009.590,42.611,36.833,5.293
4010.514,40.328,36.528,5.563
4011.437,42.963,36.917,5.569
4012.361,49.276,37.322,5.360
4013.285,46.849,37.412,5.330
4014.209,45.608,37.479,5.350
4015.134,43.334,37.084,5.264
4016.058,46.710,37.030,5.012
4016.983,45.108,37.337,4.727
4017.908,40.795,37.498,4.592
4018.833,42.070,37.422,4.679
4019.759,45.844,37.999,5.029
4020.685,43.795,38.164,5.458
4021.610,40.672,37.960,5.798
4022.537,47.036,37.873,5.918
4023.463,46.003,37.821,5.656
4024.389,45.833,37.525,5.687
4025.316,41.975,38.038,5.684
4026.243,43.889,37.968,5.394
4027.170,46.096,37.946,5.133
4028.098,49.210,38.021,5.005
4029.025,46.863,38.248,4.950
4029.953,40.897,38.790,4.927
4030.881,41.755,38.537,4.851
4031.809,41.409,38.437,4.936
4032.738,38.708,38.165,4.773
4033.667,41.513,37.874,4.693
4034.596,40.048,37.881,4.782
4035.525,40.512,38.070,4.765
4036.454,45.941,38.057,4.573
4037.383,45.672,38.557,4.729
4038.313,46.590,38.569,4.983
4039.243,48.504,38.275,5.079
4040.173,43.773,38.182,5.036
4041.104,43.953,38.344,5.181
4042.034,42.360,38.887,5.638
4042.965,46.581,38.868,5.943
4043.896,42.815,38.715,5.882
4044.827,41.355,39.108,6.316
